sde_xAl,sde_xIn,sde_tRecess,sde_AlN1,sde_AlN2,Vth,Ion,ON_OFF_Ratio,SS
0.16,0.16,0.055,1,1,2.999994367,0.032515143,93708318567,147.4727024
0.16,0.16,0.055,0,0,0.826604166,0.041361474,80329648808,102.6267853
0.16,0.16,0.055,0,1,1.266053064,0.038885864,78635137311,130.5361353
0.16,0.16,0.057,1,0,1.290218891,0.042031457,99448881297,136.0694001
0.16,0.16,0.057,1,1,1.955476941,0.039636249,1.11672E+11,140.612168
0.16,0.16,0.057,0,0,0.229349088,0.046403734,89590136369,117.5537837
0.16,0.16,0.057,0,1,0.567785777,0.045501425,91052696616,122.2634386
0.16,0.16,0.05,1,0,4.371635152,0.023912507,75566971367,141.1051217
0.16,0.16,0.05,1,1,5.650650221,0.022610029,69476049021,141.34051
0.16,0.16,0.05,0,0,2.445005932,0.03196372,63793925000,114.58005
0.16,0.16,0.05,0,1,3.005846353,0.028856071,60914384115,150.8986749
0.16,0.2,0.055,1,0,3.044740027,0.033371425,80672292162,137.7497495
0.16,0.2,0.055,1,1,3.866627886,0.031104293,86277434011,143.0147375
0.16,0.2,0.055,0,0,1.732591951,0.041813873,79812904580,110.5827829
0.16,0.2,0.055,0,1,2.121479269,0.039092114,77968756509,143.2462539
0.16,0.2,0.057,1,0,2.015621113,0.040757086,93684939359,132.7587733
0.16,0.2,0.057,1,1,2.694756282,0.037611538,97124570132,141.7206934
0.16,0.2,0.057,0,0,0.962989223,0.04795418,89403608338,119.5170942
0.16,0.2,0.057,0,1,1.300548804,0.045669695,88908334755,133.5122494
0.16,0.2,0.05,1,0,5.661687767,0.022945184,76804532442,150.6934073
0.16,0.2,0.05,1,1,6.915736727,0.021464489,46184227951,158.85639
0.16,0.2,0.05,0,0,3.677013574,0.03291206,82549871088,108.826523
0.16,0.2,0.05,0,1,4.308559757,0.028440722,77229130425,132.6037803
0.16,0.22,0.055,1,0,3.50795866,0.03227354,75416919656,131.1348104
0.16,0.22,0.055,1,1,4.297379209,0.030233481,77824661036,152.9652834
0.16,0.22,0.055,0,0,2.126923606,0.042396683,76469804158,124.8555264
0.16,0.22,0.055,0,1,2.606270231,0.038090731,72120007763,128.0418752
0.16,0.22,0.057,1,0,2.405410606,0.039432456,85392277453,135.7100267
0.16,0.22,0.057,1,1,3.025380524,0.037013582,93009574557,149.094205
0.16,0.22,0.057,0,0,1.274351539,0.04885695,87162199557,99.18855178
0.16,0.22,0.057,0,1,1.67515215,0.045109654,83779192158,132.5889572
0.16,0.22,0.05,1,0,6.292374595,0.022369797,41619771225,177.641652
0.16,0.22,0.05,1,1,7.49532557,0.021174835,45039001371,153.4659637
0.16,0.22,0.05,0,0,4.296181265,0.032903045,88947495716,121.6629293
0.16,0.22,0.05,0,1,4.930851777,0.028200495,78696811761,155.3572442
0.16,0.24,0.055,1,0,3.916131959,0.03176549,74757244326,138.9914076
0.16,0.24,0.055,1,1,4.746744815,0.029042137,73968396673,156.2708098
0.16,0.24,0.055,0,0,2.5933664,0.041728562,75439863330,110.0363172
0.16,0.24,0.055,0,1,3.036448516,0.037621453,70898034805,140.5830257
0.16,0.24,0.057,1,0,2.77257146,0.038327448,81877864420,136.7350372
0.16,0.24,0.057,1,1,3.426102863,0.03521542,87769494977,143.0634584
0.16,0.24,0.057,0,0,1.654971003,0.048363008,85847099762,119.3456878
0.16,0.24,0.057,0,1,2.045754081,0.044350247,81654127367,131.8448245
0.16,0.24,0.05,1,0,6.930003761,0.021594596,39087690088,173.7684324
0.16,0.24,0.05,1,1,8.109681229,0.020490539,34287269393,171.1454311
0.16,0.24,0.05,0,0,4.919754232,0.032566875,93441098137,127.9452048
0.16,0.24,0.05,0,1,5.557269461,0.027707185,75209608973,148.9391334
0.16,0.26,0.055,1,0,4.359851127,0.030655201,76591025715,151.0534977
