Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
3.1853836355614743e-12,1.8687318585398584e-12,5.857555320308386e-13,5.014195564940066e-13,4.951130574038582e-13,4.502876091768519e-13,3.099931754265303e-13
3.8372983890142993e-13,1.5694914628268458e-12,7.103748247739613e-13,4.3435033037487533e-13,4.0530347513799723e-13,2.508730701676392e-12,4.600780486673698e-13
3.372209733543109e-12,2.797770974659944e-13,6.754550070521304e-13,4.134993248373726e-13,3.5938976468908014e-13,4.3914712321187973e-13,4.78744061244441e-13
3.672385668729582e-13,3.510397688884477e-13,9.204337054054363e-13,3.426848356693124e-13,3.2963385839890854e-13,3.300583146889627e-13,3.4292501556283113e-13
3.3904410930963135e-12,1.6524063358443402e-12,6.500761710167976e-13,4.151613443575156e-13,1.3503646161798117e-12,4.509062815596834e-13,4.900008885281471e-13
3.648136645057487e-13,3.7774552516090907e-13,4.758918515125136e-13,4.1447399649323483e-13,1.2634007181133814e-12,2.69113572368845e-12,4.95902153369749e-13
4.3377559930344994e-13,1.751242884767619e-12,2.952352538591611e-12,4.2180632661573314e-13,2.792848535045715e-13,3.229423546587879e-12,3.555057988574389e-13
3.407567352782931e-12,4.758530179576277e-13,2.147403598706891e-12,3.230995518781016e-13,3.279716574682354e-13,2.727916987048956e-13,5.148354561322431e-13
4.944192974912667e-13,3.498695576925722e-13,2.738057398709433e-12,2.850862703978858e-13,1.4091962663833958e-12,2.832592978151434e-12,3.035164850472599e-13
4.366155707441478e-13,4.175020592589798e-13,4.86528371203433e-13,2.88063730533626e-13,4.3085511182866564e-13,3.1131379671570754e-13,2.702903234428412e-13
4.439623131329074e-13,2.022801945298629e-12,3.0282759951620644e-12,3.0814237334045657e-13,3.1436904662382306e-13,2.853174928177347e-12,3.3313191183134813e-13
3.954398009865882e-13,5.301610812348369e-13,4.851833227983671e-13,2.805720309602877e-13,3.9143217347290253e-13,3.1263375362701093e-13,1.2921482373820037e-12
