Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
,74661284161.69205,35359277655.948845,,86024295400.12785,,
,82863864998.09465,4753742708.024581,,121201473461.33292,,
,80310780093.64607,32612000775.757523,,80557779200.58641,,
,84061571780.22162,3748130490.594518,,78895979377.79132,,
,81381050169.03647,51914158369.42506,,94687061221.25348,,
,82558459104.16705,7676872955.179765,,110261921128.9452,,
,80163476825.81882,26017060317.720783,,77196192258.34921,,
,,3610199036.213565,,75405129997.98103,,
,,98348722411.44183,,87529248069.77211,,
,,51613567510.721176,,87070551782.81122,,
,,53249672419.0736,,85415344057.0422,,
,,7422844975.384522,,86548766456.18837,,
,,23880162448.0866,,85187659115.18379,,
,,3480788113.4933352,,85498594285.16353,,
,,48668754429.372765,,83142422203.69992,,
,,48805463361.92442,,99468942645.04842,,
,,50981525520.7303,,,,
,,5015521183.265565,,,,
,,22447958272.795788,,,,
,,3369994639.393936,,,,
,,45445619625.84966,,,,
,,35646203782.36634,,,,
,,34961428238.738,,,,
,,4816545907.868708,,,,
,,79883188733.10677,,,,
,,21384077065.164738,,,,
,,3230381829.6540494,,,,
,,35953708091.98637,,,,
,,35821973012.78317,,,,
,,33497586605.5756,,,,
,,4585594233.580165,,,,
,,76912916513.75615,,,,
,,7521146547.8224,,,,
,,20521484921.010094,,,,
,,3129862297.644107,,,,
,,34649644303.0462,,,,
,,34173840425.20209,,,,
,,52583800100.03693,,,,
,,50401089326.19485,,,,
,,83122456282.79298,,,,
,,47024686027.79005,,,,
,,39241990541.09532,,,,
,,37057143423.85688,,,,
,,100602166860.35976,,,,
,,99645965329.85176,,,,
,,31006736089.100483,,,,
,,34553531016.000145,,,,
,,35528542845.30174,,,,
,,34677159201.41064,,,,
,,78906014376.05486,,,,
,,31331018683.176346,,,,
,,33163857891.39984,,,,
,,34675307680.41981,,,,
,,34176699897.02029,,,,
